unifact_id,uni_name,country_name,year,teaching,research,citations,industry_income,international_outlook
205,University of Cologne,Germany,2015,25.6,18.4,65.3,28.8,52.1
206,University of Duisburg Essen,Germany,2015,21.9,13.7,64.1,44.2,49.2
207,University of Erlangen Nuremberg,Germany,2015,28.4,15.3,68.7,46.8,49
208,University of Freiburg,Germany,2015,38,28.1,74,81.4,56.7
209,University of Gottingen,Germany,2015,46.9,48,92.3,32.8,53.9
210,University of Greifswald,Germany,2015,,,,,
211,University of Hamburg,Germany,2015,,,,,
212,University of Hohenheim,Germany,2015,,,,,
213,University of Kaiserslautern,Germany,2015,,,,,
214,University of Kiel,Germany,2015,31.1,24.3,70.8,42,44.2
215,University of Konstanz,Germany,2015,30.5,33.4,59.4,52.5,57
216,University of Mannheim,Germany,2015,,,,,
217,University of Marburg,Germany,2015,,,,,
218,University of Munster,Germany,2015,30.6,18.1,73,38.2,48.2
219,University of Paderborn,Germany,2015,,,,,
220,University of Passau,Germany,2015,,,,,
221,University of Potsdam,Germany,2015,,,,,
222,University of Siegen,Germany,2015,,,,,
223,University of Stuttgart,Germany,2015,30.6,17.3,56.9,48.2,59.3
224,University of Tubingen,Germany,2015,41.5,44.7,74,54.7,53
225,University of Wurzburg,Germany,2015,28.6,17.3,81.4,30,50.2
226,Bielefeld University,Germany,2016,35.2,46.2,49.9,60.9,45.4
227,Charite Universitatsmedizin Berlin,Germany,2016,37.3,22.2,83.8,68.4,61.1
228,Free University of Berlin,Germany,2016,57.9,72.2,60.2,35.1,69.2
229,Goethe University Frankfurt,Germany,2016,35.8,28.6,79.3,38.1,60.2
230,Hamburg University of Technology,Germany,2016,,,,,
231,Heidelberg University,Germany,2016,68.8,69.6,88.2,68.2,62.8
232,Humboldt University of Berlin,Germany,2016,63.7,77,73.6,36.1,62.6
233,Johannes Gutenberg University of Mainz,Germany,2016,34.9,21.7,72.6,70.7,53.3
234,Justus Liebig University Giessen,Germany,2016,32.9,33.9,52.9,46.4,46.8
235,Karlsruhe Institute of Technology,Germany,2016,37.7,47.5,73.8,99.5,56.7
236,Leibniz University of Hanover,Germany,2016,36.5,36.9,39,69.6,43.2
237,LMU Munich,Germany,2016,70.5,77.4,85.7,100,62.8
238,Otto von Guericke University of Magdeburg,Germany,2016,22.9,14.4,39.7,37.7,43.9
239,Ruhr University Bochum,Germany,2016,32.8,30,54.4,66.6,51.7
240,RWTH Aachen University,Germany,2016,49.4,56.3,63.2,98.1,54.1
241,Technical University of Berlin,Germany,2016,,,,,
242,Technical University of Darmstadt,Germany,2016,37.1,43.2,51.1,99.1,54.4
